Date,Open,High,Low,Close,Adj Close,Volume
2012-05-11,159.300003,159.460007,156.220001,158.270004,112.962059,57625190
2012-05-14,157.970001,158.000000,149.020004,149.500000,106.702652,61942760
2012-05-15,149.949997,150.800003,145.309998,148.130005,105.724846,8893370
2012-05-16,146.039993,148.710007,145.210007,146.000000,104.204597,60504260
2012-05-17,146.800003,146.979996,140.800003,142.509995,101.713684,80448950
2012-05-18,140.000000,142.750000,137.070007,139.970001,99.900810,8517022
2012-05-21,139.000000,142.649994,138.160004,141.970001,101.328262,53809940
2012-05-22,143.199997,144.559998,142.389999,143.710007,102.570145,5519999
2012-05-23,141.300003,142.619995,138.119995,138.699997,98.994354,57186360
2012-05-24,140.199997,142.350006,136.539993,139.610001,99.643860,5632147
2012-05-25,141.500000,144.300003,140.800003,143.000000,102.063408,46091950
2012-05-28,144.500000,146.350006,143.610001,144.300003,102.991264,33877620
2012-05-29,145.009995,149.279999,145.009995,148.600006,106.060287,51645610
2012-05-30,147.580002,150.509995,146.820007,148.289993,105.839035,67584800
2012-05-31,149.059998,150.199997,146.750000,147.050003,104.954010,6419857
2012-06-01,147.009995,148.919998,144.410004,148.710007,106.138817,70880510
2012-06-04,146.800003,152.300003,146.449997,150.210007,107.209404,5006669
2012-06-05,152.550003,153.199997,149.800003,150.460007,107.387840,36968460
2012-06-06,151.399994,151.789993,148.500000,150.210007,107.209404,52583620
2012-06-07,151.619995,153.100006,149.080002,151.160004,107.887444,5350031
2012-06-08,150.169998,151.759995,149.520004,150.619995,107.502022,3127215
2012-06-13,150.619995,154.539993,150.619995,152.770004,109.036552,4239350
2012-06-14,152.000000,152.339996,150.699997,152.020004,108.501259,29052570
2012-06-15,152.580002,156.940002,152.309998,156.199997,111.484642,67627850
2012-06-18,158.000000,158.490005,156.149994,157.289993,112.262611,3964806
2012-06-19,157.309998,158.960007,157.059998,158.899994,113.411713,34936260
2012-06-20,158.850006,159.139999,157.210007,157.750000,112.590935,30782840
2012-06-21,156.960007,158.190002,155.449997,156.009995,111.349037,37076950
2012-06-22,154.500000,155.940002,153.559998,154.759995,110.456856,3525979
2012-06-25,153.750000,154.979996,151.100006,151.160004,107.887444,28623520
2012-06-26,151.500000,152.679993,150.500000,151.960007,108.458443,2760402
2012-06-27,151.990005,153.970001,150.199997,152.289993,108.693962,3327995
2012-06-28,154.059998,154.500000,150.350006,150.550003,107.452072,34965540
2012-06-29,153.000000,154.360001,152.509995,153.990005,109.907303,43021640
2012-07-02,153.899994,155.860001,153.050003,154.789993,110.478271,3076188
2012-07-03,155.940002,159.830002,155.570007,158.860001,113.383163,45798390
2012-07-04,158.979996,159.660004,157.600006,158.559998,113.169037,2324455
2012-07-05,158.759995,160.779999,156.899994,158.869995,113.390305,4936867
2012-07-06,157.000000,157.429993,155.009995,155.199997,110.770912,29858090
2012-07-09,155.410004,156.460007,153.809998,154.500000,110.271309,26274530
2012-07-10,154.009995,156.699997,152.770004,155.350006,110.877983,3165288
2012-07-11,154.500000,154.800003,152.539993,153.550003,109.593254,2528916
2012-07-12,153.490005,153.600006,151.000000,152.149994,108.594032,2902615
2012-07-13,153.130005,154.000000,152.199997,153.160004,109.314896,2572620
2012-07-16,152.990005,154.850006,152.990005,153.860001,109.814514,2551692
2012-07-17,154.399994,157.000000,154.300003,155.750000,111.163460,3563953
2012-07-18,155.979996,156.500000,154.229996,155.389999,110.906517,2531751
2012-07-19,155.690002,157.580002,155.250000,156.509995,111.705894,34731720
2012-07-20,156.300003,156.300003,153.000000,154.529999,110.292709,2444249
2012-07-23,152.000000,152.250000,148.100006,148.559998,106.031746,42758340
2012-07-24,149.300003,149.750000,145.699997,147.190002,105.053940,3608073
2012-07-25,145.000000,148.289993,144.229996,146.520004,104.575737,3731130
2012-07-26,146.500000,148.949997,145.259995,147.229996,105.082481,3221310
2012-07-27,149.300003,152.460007,148.119995,150.490005,107.409241,4098133
2012-07-30,153.399994,154.990005,153.380005,154.649994,110.378349,33940980
2012-07-31,154.850006,155.089996,150.100006,150.750000,107.594803,40581460
2012-08-01,150.110001,151.789993,149.169998,150.000000,107.059517,29379140
2012-08-02,149.539993,152.000000,147.550003,149.479996,106.688385,4746962
2012-08-03,148.000000,151.199997,147.630005,151.100006,107.844620,37791310
2012-08-06,151.500000,155.330002,150.789993,153.210007,109.350601,3802489
2012-08-07,154.720001,156.990005,153.750000,156.490005,111.691620,37911620
2012-08-08,155.800003,156.000000,154.300003,155.570007,111.034988,26192930
2012-08-09,155.809998,156.500000,153.210007,155.350006,110.877983,3475346
2012-08-10,154.479996,155.000000,152.539993,154.000000,109.914444,29172550
2012-08-13,154.130005,156.660004,153.789993,155.479996,110.970764,2856252
2012-08-14,155.490005,157.110001,155.160004,157.000000,112.055641,24355900
2012-08-15,156.300003,156.309998,153.539993,154.600006,110.342674,2726622
2012-08-16,155.449997,156.850006,155.059998,156.110001,111.420403,2898970
2012-08-17,157.559998,157.990005,156.699997,157.399994,112.341103,2256749
2012-08-20,157.009995,157.190002,153.699997,154.929993,110.578194,2583438
2012-08-21,154.639999,157.410004,154.639999,157.000000,112.055641,26392530
2012-08-22,155.539993,156.839996,155.009995,156.020004,111.356186,1940374
2012-08-23,157.600006,159.300003,156.570007,158.199997,112.912086,3887997
2012-08-24,156.229996,157.669998,155.649994,156.639999,111.798691,2449083
2012-08-27,157.300003,157.750000,155.899994,156.619995,111.784409,1715381
2012-08-28,156.000000,157.190002,155.240005,157.000000,112.055641,26340390
2012-08-29,156.830002,157.770004,155.250000,156.000000,111.341896,35167370
2012-08-30,155.509995,156.369995,154.669998,155.500000,110.985031,2429674
2012-08-31,155.020004,157.500000,154.570007,157.399994,112.341103,31504790
2012-09-03,157.050003,158.880005,156.619995,158.179993,112.897827,2324594
2012-09-04,158.470001,158.630005,157.470001,158.000000,112.769363,20391670
2012-09-05,157.169998,157.449997,154.990005,155.860001,111.241966,4128645
2012-09-06,155.050003,159.399994,155.050003,156.600006,111.770142,3719344
2012-09-07,159.199997,163.850006,159.050003,162.279999,115.824127,6465870
2012-09-10,162.899994,164.289993,162.220001,163.729996,116.859032,2962560
2012-09-11,162.779999,164.279999,162.690002,163.300003,116.552124,23543420
2012-09-12,164.169998,164.770004,163.039993,163.199997,116.480751,32953400
2012-09-13,163.059998,163.500000,161.869995,162.429993,115.931190,2880985
2012-09-14,166.960007,171.039993,166.509995,168.630005,120.356323,8979612
2012-09-17,169.449997,170.600006,168.500000,169.259995,120.805946,5209455
2012-09-18,168.500000,168.990005,167.500000,167.759995,119.735374,3415117
2012-09-19,168.139999,169.460007,164.000000,164.750000,117.587029,50218790
2012-09-20,163.500000,164.949997,162.000000,164.850006,117.658424,3832033
2012-09-21,165.539993,165.869995,162.949997,163.800003,116.908997,33554760
2012-09-24,163.210007,163.350006,161.029999,161.970001,115.602875,28632800
2012-09-25,162.949997,163.190002,160.559998,160.869995,114.817772,2834583
2012-09-26,160.000000,160.279999,156.869995,157.000000,112.055641,35765330
2012-09-27,158.210007,159.190002,156.309998,157.490005,112.405350,31595060
2012-09-28,158.940002,159.179993,156.520004,157.750000,112.590935,24145220
2012-10-01,157.139999,161.000000,156.729996,160.899994,114.839165,30404070
2012-10-02,160.399994,160.399994,158.770004,159.300003,113.697205,2976632
2012-10-03,158.529999,159.740005,157.570007,158.139999,112.869286,27766330
2012-10-04,158.839996,158.889999,155.199997,156.410004,111.634529,33458740
2012-10-05,157.500000,160.500000,157.110001,159.070007,113.533043,3322744
2012-10-08,158.100006,159.350006,157.100006,158.899994,113.411713,2681577
2012-10-09,159.500000,159.919998,157.149994,157.149994,112.162697,3752273
2012-10-10,156.699997,157.070007,154.949997,155.300003,110.842285,3439701
2012-10-11,154.750000,156.119995,154.220001,154.250000,110.092873,3423027
2012-10-12,154.490005,154.589996,151.270004,152.360001,108.743927,3428768
2012-10-15,152.000000,153.350006,151.309998,152.220001,108.644005,2072494
2012-10-16,153.500000,154.000000,152.380005,153.979996,109.900154,30723670
2012-10-17,154.149994,157.100006,153.770004,156.139999,111.441818,4370530
2012-10-18,156.289993,157.509995,154.300003,155.000000,110.628174,3504965
2012-10-19,154.850006,155.130005,153.330002,154.679993,110.399765,25356190
2012-10-22,153.880005,156.850006,153.440002,156.529999,111.720161,2707960
2012-10-23,156.160004,156.529999,152.820007,153.669998,109.678909,3254987
2012-10-24,153.509995,154.300003,150.740005,152.660004,108.958023,36216500
2012-10-25,152.800003,154.229996,152.130005,152.779999,109.043694,2493059
2012-10-26,151.559998,151.899994,150.110001,151.559998,108.172928,2807512
2012-10-29,151.000000,151.759995,150.229996,150.850006,107.666199,1452703
2012-10-30,150.220001,151.600006,146.910004,147.059998,104.961143,45693150
2012-10-31,147.059998,148.199997,144.520004,144.899994,103.419487,4588387
2012-11-01,144.889999,145.690002,141.830002,144.300003,102.991264,4485469
2012-11-02,144.500000,147.309998,144.350006,146.029999,104.226006,3569168
2012-11-06,146.029999,146.610001,144.679993,146.000000,104.204597,21658460
2012-11-07,146.500000,147.809998,143.449997,143.699997,102.563026,3185830
2012-11-08,142.149994,144.350006,141.520004,143.149994,102.170456,3739656
2012-11-09,142.600006,145.889999,142.509995,145.600006,103.919098,33086040
2012-11-12,146.000000,146.449997,144.300003,144.880005,103.405235,22274710
2012-11-13,144.000000,144.350006,139.169998,139.800003,99.779480,48019650
2012-11-14,140.000000,140.500000,138.000000,139.350006,99.458298,4603492
2012-11-15,138.350006,142.199997,138.110001,141.729996,101.156960,35257190
2012-11-16,141.250000,141.250000,139.619995,140.199997,100.064957,27460950
2012-11-19,140.630005,142.210007,140.449997,142.000000,101.349678,2281122
2012-11-20,142.500000,142.809998,140.059998,141.250000,100.814384,1968298
2012-11-21,140.889999,143.600006,139.210007,142.800003,101.920662,3312025
2012-11-22,143.059998,143.479996,142.029999,142.110001,101.428185,1968025
2012-11-23,142.020004,142.740005,140.970001,141.630005,101.085594,2933655
2012-11-26,141.990005,142.289993,140.119995,140.330002,100.157753,2194518
2012-11-27,140.800003,141.229996,138.020004,138.300003,98.708878,3490874
2012-11-28,137.899994,138.750000,136.500000,137.259995,97.966599,42490840
2012-11-29,138.500000,138.910004,136.720001,137.289993,97.988007,2896161
2012-11-30,137.500000,139.500000,136.500000,138.669998,98.972946,4676964
2012-12-03,139.500000,141.149994,138.429993,140.880005,100.550301,3614288
2012-12-04,139.800003,141.250000,139.229996,139.399994,99.493965,2595425
2012-12-05,140.149994,142.990005,140.139999,140.669998,100.400414,4434676
2012-12-06,140.490005,141.160004,138.600006,139.529999,99.586761,3636895
2012-12-07,140.000000,140.169998,138.330002,139.500000,99.565353,2591007
2012-12-10,139.990005,140.940002,139.449997,140.289993,100.129196,2346709
2012-12-11,140.729996,140.889999,139.270004,139.529999,99.586761,3003858
2012-12-12,140.199997,141.600006,139.880005,140.940002,100.593132,40361540
2012-12-13,140.940002,141.089996,139.050003,139.479996,99.551071,3316173
2012-12-14,139.419998,140.009995,139.029999,139.410004,99.501122,2694242
2012-12-17,139.729996,140.000000,138.509995,139.729996,99.729507,3805826
2012-12-18,140.490005,141.449997,140.050003,140.339996,100.164879,3710621
2012-12-19,141.000000,142.289993,140.080002,140.160004,100.036415,3620708
2012-12-20,139.470001,142.770004,138.880005,142.750000,101.884987,52706640
2012-12-21,141.500000,144.500000,141.240005,144.350006,103.026947,5466179
2012-12-24,144.500000,145.820007,144.380005,144.649994,103.241066,3247810
2012-12-25,145.000000,145.300003,144.000000,144.759995,103.319580,1338699
2012-12-26,145.000000,145.199997,144.500000,145.059998,103.533691,1115903
2012-12-27,144.789993,145.380005,144.449997,144.949997,103.455177,1716491
2012-12-28,144.699997,145.000000,143.679993,143.699997,102.563026,2224022
2013-01-08,143.699997,147.960007,143.699997,147.899994,105.560677,25413140
2013-01-09,147.300003,149.050003,147.149994,148.910004,106.281563,29540810
2013-01-10,149.000000,149.509995,147.300003,147.600006,105.346573,22741520
