Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees and/or spread) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees and/or spread) (USD)
aa575adb-72c0-5f41-969c-92e28e28ca28,Rewards,2023-07-20T16:32:02Z,XTZ,0.445949,0.3846310125,Coinbase,,,
607d22fc-2a84-5e8f-891b-53ead338f0a4,Rewards,2023-07-20T18:43:59Z,SOL,0.001107191,0.0282333705,Coinbase,,,
e13d8a95-283b-5171-9c59-e7f853fdafb1,Rewards,2023-07-20T19:11:19Z,SOL,0.001109809,0.028216893825,Coinbase,,,
fc7a0443-f1eb-513e-bf4c-0235619c3dd3,Rewards,2023-07-20T21:25:55Z,DOT,0.0627077634,0.3312851140422,Coinbase,,,
74439c6b-65ba-550a-a96e-0d7d953235a2,Converted from,2023-07-21T01:40:43Z,,,,,AUCTION,32.226,150.37489476
0cea7690-7bb0-5fbd-97b3-a4ae4e0279c5,Advanced trade trade,2023-07-21T01:40:43Z,USDC,152.42898,152.42898,Coinbase,,,
a364edbb-4e08-5e44-9291-75cc2f46af62,Converted from,2023-07-21T01:42:23Z,,,,,AUCTION,53.846,252.60020136
d3a3c4b6-9ba9-5dd6-a6ee-560b90f64640,Advanced trade trade,2023-07-21T01:42:23Z,USDC,254.69158,254.69158,Coinbase,,,
2ff3f5e9-d1d6-5a72-938f-78e00b96b17d,Converted from,2023-07-21T02:11:56Z,,,,,USDC,438.6601998287208,438.6601998287208
4420b6b3-964f-52da-a422-daeab8bf671d,Advanced trade trade,2023-07-21T02:11:56Z,BTC,0.01461159,438.6705422043546,Coinbase,,,
37f7dbde-75bb-5bee-818a-521215081e7d,Rewards,2023-07-21T04:36:04Z,ADA,0.913148,0.2886917402,Coinbase,,,
c74c9629-cc45-54a8-92f8-399fe8f56e15,Rewards,2023-07-21T10:40:25Z,SOL,0.004358452,0.10985478266,Coinbase,,,
1329012c-9d45-5948-97d8-843cf4af93c4,Converted from,2023-07-21T21:46:13Z,,,,,COMP,7.659,541.3133239875
3848ea65-98b7-55a0-9583-9d8af6fc19b0,Advanced trade trade,2023-07-21T21:46:13Z,USDC,543.25287,543.25287,Coinbase,,,
519e6bc2-3764-5f64-8ac8-bcc176f83db1,Converted from,2023-07-21T21:50:06Z,,,,,USDC,543.04860096,543.04860096
cd449d9a-352b-581a-ac6d-1fca9a731e26,Advanced trade trade,2023-07-21T21:50:06Z,CRPT,8742.4,544.36455072,Coinbase,,,
20f79212-223b-52f9-ae9f-222df86691ee,Rewards,2023-07-21T21:53:49Z,ADA,0.920024,0.2875995024,Coinbase,,,
471a5aa8-5bc7-51ae-8190-a74405261303,Rewards,2023-07-22T12:35:43Z,XTZ,0.449468,0.382272534,Coinbase,,,
9fd57d2a-3e4b-535b-b30b-be468fa8e772,Rewards,2023-07-22T13:19:42Z,ATOM,0.009875,0.0925534375,Coinbase,,,
2a74b9c6-c610-54ef-8273-ca551a39fc30,Rewards,2023-07-22T13:58:09Z,ATOM,0.287779,2.7003742465,Coinbase,,,
d7b4f945-0952-5390-b488-9062d685b17b,Rewards,2023-07-22T16:11:07Z,ETH2,0.001114299549,2.105351996382855,Coinbase,,,
c40a4929-6cdd-5bce-8a4a-208200151761,Rewards,2023-07-22T21:10:36Z,DOT,0.1114545849,0.59756375694135,Coinbase,,,
8875ed81-5857-50f1-81f5-1fcf9ba49aa0,Rewards,2023-07-23T20:29:15Z,DOT,0.0560751688,0.306170421648,Coinbase,,,
dab5f4db-655c-59d9-9161-e8df7881d3d8,Rewards,2023-07-24T20:22:34Z,DOT,0.0070431913,0.0366527675252,Coinbase,,,
3b33de62-ad71-56fd-a36a-0f91734526b4,Sell,2023-07-24T20:30:08Z,,,,,LTC,5.221481,461.680452098045
70d4522a-3ff5-5b91-bdd3-5e5d46bdf4cc,Sell,2023-07-24T20:33:01Z,,,,,BTC,0.00062902,18.2608192528965
35ccc206-499d-5b62-8de5-443f8552e699,Sell,2023-07-24T20:48:10Z,,,,,BTC,0.00016738,4.8591394972335
08838e6e-c007-52eb-b665-025027382430,Sell,2023-07-24T20:48:11Z,,,,,BTC,0.00016727,4.85594613276525
55ab72c2-c0bf-5281-b1cc-d4d53c200d0d,Sell,2023-07-24T20:48:12Z,,,,,BTC,0.00170835,49.59440172122625
dacd7b49-a1ec-57c0-b5cb-220605dbf00a,Sell,2023-07-24T20:48:13Z,,,,,BTC,0.00030802,8.9420011228215
3f4fee5f-8a54-5fd0-8bb5-2502db2263a7,Sell,2023-07-24T20:48:14Z,,,,,BTC,0.0006068,17.61575963031
